"chunk_syntagm_id","chunk_id","keyword","syntagmid","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"276","3778","article","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"277","733","article","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"278","749","article","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"279","784","article","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"280","1714","article","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"281","1629","article","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"282","1878","article","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"283","2724","article","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"284","3141","article","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"285","10592","article","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"286","7142","attention","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"287","10412","attention","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"288","5188","attention","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"289","12178","attention","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"290","2040","aunt","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"291","2271","aunt","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"292","5698","aunt","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"293","1452","autumn","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"294","7425","autumn","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"295","2458","autumn","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"296","3612","autumn","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"297","5402","autumn","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"298","6683","autumn","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"299","1717","autumn","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"300","8151","autumn","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"301","1774","autumn","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"302","8641","autumn","36","admin","25/11/2025 15:44:17.661766",,,,,"f"
"303","1171","baby","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"304","1617","baby","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"305","9097","baby","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"306","549","baby","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"307","597","baby","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"308","3219","baby","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"309","3532","baby","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"310","9234","baby","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"311","12458","baby","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"312","4048","baby","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"313","6957","baby","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"314","107","baby","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"315","8678","baby","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"316","162","baby","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"317","4661","baby","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"318","4769","baby","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"319","8329","baby","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"320","5578","baby","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"321","868","baby","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"322","6743","baby","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"323","1091","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"324","11087","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"325","1136","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"326","1238","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"327","7186","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"328","8874","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"329","1358","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"330","1360","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"331","8877","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"332","1379","back","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"333","1408","back","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"334","1497","back","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"335","8903","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"336","7250","back","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"337","11104","back","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"338","1731","back","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"339","1959","back","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"340","9905","back","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"341","1977","back","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"342","2027","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"343","2029","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"344","2033","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"345","7394","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"346","2107","back","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"347","2207","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"348","7444","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"349","2278","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"350","2299","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"351","12394","back","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"352","11353","back","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"353","2363","back","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
